category	GOID	GOterm	nall	nset	nhits	nrefs	p	fdr	hits	hits2
Function	GO:0005524	ATP binding	4511	29	12	552	8.4e-5	6.9e-4	YDR226W,YDR341C,YER036C,YGL120C,YHR074W,YJL087C,YKR024C,YLR276C,YLR305C,YMR128W,YNR016C,YNR038W	ADK1,YDR341C,ARB1,PRP43,QNS1,TRL1,DBP7,DBP9,STT4,ECM16,ACC1,DBP6
Function	GO:0004758	serine C-palmitoyltransferase activity	4511	29	2	2	2.3e-4	0.0015	YDR062W,YMR296C	LCB2,LCB1
Function	GO:0017111	nucleoside-triphosphatase activity	4511	29	8	291	4.1e-4	0.0024	YAL035W,YER036C,YGL120C,YKR024C,YLR276C,YMR128W,YNL163C,YNR038W	FUN12,ARB1,PRP43,DBP7,DBP9,ECM16,RIA1,DBP6
Function	GO:0003743	translation initiation factor activity	4511	29	3	28	0.00093000000000000005	0.0049	YAL035W,YMR146C,YPR041W	FUN12,TIF34,TIF5
Function	GO:0003723	RNA binding	4511	29	9	447	0.0015	0.0075	YAL035W,YGL120C,YKR024C,YLR276C,YMR128W,YMR146C,YNL221C,YNR038W,YPR041W	FUN12,PRP43,DBP7,DBP9,ECM16,TIF34,POP1,DBP6,TIF5
Function	GO:0140101	catalytic activity, acting on a tRNA	4511	29	4	78	0.0017	0.0079	YDR341C,YHR070W,YMR059W,YNL221C	YDR341C,TRM5,SEN15,POP1
Function	GO:0016887	ATPase activity	4511	29	6	202	0.0017	0.0079	YER036C,YGL120C,YKR024C,YLR276C,YMR128W,YNR038W	ARB1,PRP43,DBP7,DBP9,ECM16,DBP6
Function	GO:0004549	tRNA-specific ribonuclease activity	4511	29	2	9	0.0021	0.0093	YMR059W,YNL221C	SEN15,POP1
Function	GO:0032549	ribonucleoside binding	4511	29	4	88	0.0025	0.0108	YAL035W,YNL163C,YOR207C,YPR041W	FUN12,RIA1,RET1,TIF5
Function	GO:0031369	translation initiation factor binding	4511	29	2	12	0.0034	0.0134	YAL035W,YPR041W	FUN12,TIF5
Function	GO:0016874	ligase activity	4511	29	4	102	0.0043	0.0158	YDR341C,YHR074W,YJL087C,YNR016C	YDR341C,QNS1,TRL1,ACC1
Function	GO:0019205	nucleobase-containing compound kinase activity	4511	29	2	16	0.0057	0.0205	YDR226W,YJL087C	ADK1,TRL1
Function	GO:0004519	endonuclease activity	4511	29	3	55	0.0057	0.0205	YJL087C,YMR059W,YNL221C	TRL1,SEN15,POP1
Function	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	4511	29	2	23	0.0108	0.0366	YNL248C,YOR207C	RPA49,RET1
InterPro	IPR027417	P-loop containing nucleoside triphosphate hydrolase	4511	29	10	273	5.25e-6	6.7e-4	YAL035W,YDR226W,YER036C,YGL120C,YJL087C,YKR024C,YLR276C,YMR128W,YNL163C,YNR038W	FUN12,ADK1,ARB1,PRP43,TRL1,DBP7,DBP9,ECM16,RIA1,DBP6
InterPro	IPR011545	DEAD/DEAH box helicase domain	4511	29	5	37	5.35e-6	6.7e-4	YGL120C,YKR024C,YLR276C,YMR128W,YNR038W	PRP43,DBP7,DBP9,ECM16,DBP6
InterPro	IPR014001	Helicase superfamily 1/2, ATP-binding domain	4511	29	5	58	4.03e-5	0.0017	YGL120C,YKR024C,YLR276C,YMR128W,YNR038W	PRP43,DBP7,DBP9,ECM16,DBP6
InterPro	IPR001650	Helicase, C-terminal	4511	29	5	58	4.03e-5	0.0017	YGL120C,YKR024C,YLR276C,YMR128W,YNR038W	PRP43,DBP7,DBP9,ECM16,DBP6
InterPro	IPR011709	Domain of unknown function DUF1605	4511	29	2	7	0.0014	0.0353	YGL120C,YMR128W	PRP43,ECM16
InterPro	IPR007502	Helicase-associated domain	4511	29	2	7	0.0014	0.0353	YGL120C,YMR128W	PRP43,ECM16
InterPro	IPR004161	Translation elongation factor EFTu-like, domain 2	4511	29	2	9	0.0021	0.0353	YAL035W,YNL163C	FUN12,RIA1
InterPro	IPR002464	DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site	4511	29	2	8	0.0017	0.0353	YGL120C,YMR128W	PRP43,ECM16
InterPro	IPR004839	Aminotransferase, class I/classII	4511	29	2	11	0.0029	0.0418	YDR062W,YMR296C	LCB2,LCB1
InterPro	IPR000795	Transcription factor, GTP-binding domain	4511	29	2	12	0.0034	0.0438	YAL035W,YNL163C	FUN12,RIA1
KEGG	map03013	RNA transport	4511	29	4	70	0.0011	0.0251	YAL035W,YMR146C,YNL221C,YPR041W	FUN12,TIF34,POP1,TIF5
KEGG	map01100	Metabolic pathways	4511	29	11	608	0.00093000000000000005	0.0251	YDR062W,YDR226W,YEL058W,YHR074W,YJL167W,YJR016C,YLR305C,YMR296C,YNL248C,YNR016C,YOR207C	LCB2,ADK1,PCM1,QNS1,ERG20,ILV3,STT4,LCB1,RPA49,ACC1,RET1
KEGG	map00600	Sphingolipid metabolism	4511	29	2	13	0.0039	0.0354	YDR062W,YMR296C	LCB2,LCB1
Keyword	KW-0547	Nucleotide-binding	4511	29	15	631	1.89e-6	1.3e-4	YAL035W,YDR226W,YDR341C,YER036C,YGL120C,YHR074W,YJL087C,YKR024C,YLR276C,YLR305C,YMR128W,YNL163C,YNR016C,YNR038W,YPR041W	FUN12,ADK1,YDR341C,ARB1,PRP43,QNS1,TRL1,DBP7,DBP9,STT4,ECM16,RIA1,ACC1,DBP6,TIF5
Keyword	KW-0690	Ribosome biogenesis	4511	29	7	148	3.91e-5	0.0014	YKR024C,YLR276C,YMR128W,YMR131C,YNL163C,YNL248C,YNR038W	DBP7,DBP9,ECM16,RRB1,RIA1,RPA49,DBP6
Keyword	KW-0819	tRNA processing	4511	29	5	68	8.23e-5	0.0016	YHR070W,YJL087C,YLR316C,YMR059W,YNL221C	TRM5,TRL1,TAD3,SEN15,POP1
Keyword	KW-0067	ATP-binding	4511	29	12	541	6.9e-5	0.0016	YDR226W,YDR341C,YER036C,YGL120C,YHR074W,YJL087C,YKR024C,YLR276C,YLR305C,YMR128W,YNR016C,YNR038W	ADK1,YDR341C,ARB1,PRP43,QNS1,TRL1,DBP7,DBP9,STT4,ECM16,ACC1,DBP6
Keyword	KW-0347	Helicase	4511	29	5	76	1.4e-4	0.0019	YGL120C,YKR024C,YLR276C,YMR128W,YNR038W	PRP43,DBP7,DBP9,ECM16,DBP6
Keyword	KW-0698	rRNA processing	4511	29	6	137	2.3e-4	0.0026	YKR024C,YLR276C,YMR128W,YMR131C,YNL221C,YNR038W	DBP7,DBP9,ECM16,RRB1,POP1,DBP6
Keyword	KW-0396	Initiation factor	4511	29	3	23	5.5e-4	0.0054	YAL035W,YMR146C,YPR041W	FUN12,TIF34,TIF5
Keyword	KW-0378	Hydrolase	4511	29	10	502	8.3e-4	0.0072	YAL035W,YDL047W,YGL120C,YJL087C,YKR024C,YLR276C,YMR128W,YNL163C,YNL221C,YNR038W	FUN12,SIT4,PRP43,TRL1,DBP7,DBP9,ECM16,RIA1,POP1,DBP6
Keyword	KW-0648	Protein biosynthesis	4511	29	4	87	0.0024	0.0187	YAL035W,YDR341C,YMR146C,YPR041W	FUN12,YDR341C,TIF34,TIF5
Keyword	KW-0436	Ligase	4511	29	4	90	0.0028	0.019	YDR341C,YHR074W,YJL087C,YNR016C	YDR341C,QNS1,TRL1,ACC1
Keyword	KW-0746	Sphingolipid metabolism	4511	29	2	12	0.0034	0.0214	YDR062W,YMR296C	LCB2,LCB1
Keyword	KW-0963	Cytoplasm	4511	29	14	1155	0.0073	0.042	YAL035W,YDL047W,YDR062W,YDR226W,YDR341C,YEL058W,YER036C,YHR070W,YJL167W,YMR146C,YMR296C,YNL163C,YNL221C,YNR016C	FUN12,SIT4,LCB2,ADK1,YDR341C,PCM1,ARB1,TRM5,ERG20,TIF34,LCB1,RIA1,POP1,ACC1
NetworkNeighborAL	CL:935	Ribosome biogenesis, and preribosome	4511	29	7	154	5e-5	0.0048	YER036C,YGL120C,YKR024C,YLR276C,YMR128W,YMR131C,YNR038W	ARB1,PRP43,DBP7,DBP9,ECM16,RRB1,DBP6
NetworkNeighborAL	CL:564	multi-eIF complex, and formation of cytoplasmic translation initiation complex	4511	29	3	11	8.14e-5	0.0048	YAL035W,YMR146C,YPR041W	FUN12,TIF34,TIF5
NetworkNeighborAL	CL:937	Ribosome biogenesis, and preribosome, large subunit precursor	4511	29	6	146	3.2e-4	0.0051	YER036C,YKR024C,YLR276C,YMR128W,YMR131C,YNR038W	ARB1,DBP7,DBP9,ECM16,RRB1,DBP6
NetworkNeighborAL	CL:2317	endoribonuclease complex	4511	29	3	16	2.1e-4	0.0051	YJL087C,YMR059W,YNL221C	TRL1,SEN15,POP1
NetworkNeighborAL	CL:5780	SPOTS complex	4511	29	2	4	5.8e-4	0.008	YDR062W,YMR296C	LCB2,LCB1
NetworkNeighborAL	CL:2342	tRNA-intron endonuclease complex	4511	29	2	5	8.1e-4	0.0097	YJL087C,YMR059W	TRL1,SEN15
NetworkNeighborAL	CL:1187	mixed, incl. TRASH domain, and NMD3 family	4511	29	2	6	0.0011	0.0109	YLR276C,YMR131C	DBP9,RRB1
NetworkNeighborAL	CL:1092	preribosome, large subunit precursor	4511	29	3	54	0.0054	0.0475	YER036C,YLR276C,YMR131C	ARB1,DBP9,RRB1
PMID	PMID:30169518	(2018) The Npa1p complex chaperones the assembly of the earliest eukaryotic large ribosomal subunit precursor.	4511	29	5	23	6.57e-7	7.7e-4	YGL120C,YKR024C,YLR276C,YMR131C,YNR038W	PRP43,DBP7,DBP9,RRB1,DBP6
PMID	PMID:25706898	(2015) Functions of ribosomal proteins in assembly of eukaryotic ribosomes in vivo.	4511	29	6	44	5.14e-7	7.7e-4	YAL035W,YLR276C,YMR128W,YMR131C,YNL163C,YNR038W	FUN12,DBP9,ECM16,RRB1,RIA1,DBP6
PMID	PMID:19941819	(2009) Prp43 bound at different sites on the pre-rRNA performs distinct functions in ribosome synthesis.	4511	29	5	21	4.44e-7	7.7e-4	YGL120C,YKR024C,YLR276C,YMR128W,YNR038W	PRP43,DBP7,DBP9,ECM16,DBP6
PMID	PMID:29165427	(2018) Sphingolipids and their metabolism in physiology and disease.	4511	29	3	6	1.92e-5	0.0083	YDL047W,YDR062W,YMR296C	SIT4,LCB2,LCB1
PMID	PMID:22123745	(2012) The eIF3cNIP1 PCI domain interacts with RNA and RACK1ASC1 and promotes assembly of translation preinitiation complexes.	4511	29	3	7	2.73e-5	0.0095	YAL035W,YMR146C,YPR041W	FUN12,TIF34,TIF5
PMID	PMID:21745818	(2011) Mechanisms of translational regulation by a human eIF5-mimic protein.	4511	29	3	8	3.74e-5	0.0095	YAL035W,YMR146C,YPR041W	FUN12,TIF34,TIF5
PMID	PMID:17145778	(2007) Characterization of Saccharomyces cerevisiae Npa2p (Urb2p) reveals a low-molecular-mass complex containing Dbp6p, Npa1p (Urb1p), Nop8p, and Rsa3p involved in early steps of 60S ribosomal subunit biogenesis.	4511	29	3	7	2.73e-5	0.0095	YKR024C,YLR276C,YNR038W	DBP7,DBP9,DBP6
PMID	PMID:18833290	(2008) Quantitative analysis of snoRNA association with pre-ribosomes and release of snR30 by Rok1 helicase.	4511	29	3	9	4.96e-5	0.0108	YGL120C,YKR024C,YMR128W	PRP43,DBP7,ECM16
PMID	PMID:16449635	(2006) Comprehensive mutational analysis of yeast DEXDH box RNA helicases involved in large ribosomal subunit biogenesis.	4511	29	3	9	4.96e-5	0.0108	YKR024C,YLR276C,YNR038W	DBP7,DBP9,DBP6
PMID	PMID:21280672	(2011) Assessing the components of the eIF3 complex and their phosphorylation status.	4511	29	3	13	1.2e-4	0.0215	YAL035W,YMR146C,YPR041W	FUN12,TIF34,TIF5
PMID	PMID:20965421	(2010) Membranes in balance: mechanisms of sphingolipid homeostasis.	4511	29	3	13	1.2e-4	0.0215	YDR062W,YLR305C,YMR296C	LCB2,STT4,LCB1
PMID	PMID:23954556	(2014) Sphingolipids and lifespan regulation.	4511	29	3	14	1.5e-4	0.0217	YDL047W,YDR062W,YMR296C	SIT4,LCB2,LCB1
PMID	PMID:28637533	(2018) Everybody needs sphingolipids, right! Mining for new drug targets in protozoan sphingolipid biosynthesis.	4511	29	2	3	3.9e-4	0.0313	YDR062W,YMR296C	LCB2,LCB1
PMID	PMID:28578314	(2017) Functional and phylogenetic evidence of a bacterial origin for the first enzyme in sphingolipid biosynthesis in a phylum of eukaryotic protozoan parasites.	4511	29	2	3	3.9e-4	0.0313	YDR062W,YMR296C	LCB2,LCB1
PMID	PMID:22400113	(2012) Sphingolipid and ceramide homeostasis: potential therapeutic targets.	4511	29	2	2	2.3e-4	0.0313	YDR062W,YMR296C	LCB2,LCB1
PMID	PMID:21942574	(2011) Sphingolipid and glycosphingolipid metabolic pathways in the era of sphingolipidomics.	4511	29	2	2	2.3e-4	0.0313	YDR062W,YMR296C	LCB2,LCB1
PMID	PMID:17090526	(2006) Expression of a novel marine viral single-chain serine palmitoyltransferase and construction of yeast and mammalian single-chain chimera.	4511	29	2	2	2.3e-4	0.0313	YDR062W,YMR296C	LCB2,LCB1
PMID	PMID:12185836	(2002) Mutations in the Lcb2p subunit of serine palmitoyltransferase eliminate the requirement for the TSC3 gene in Saccharomyces cerevisiae.	4511	29	2	2	2.3e-4	0.0313	YDR062W,YMR296C	LCB2,LCB1
PMID	PMID:11565753	(2001) Dbp9p, a putative ATP-dependent RNA helicase involved in 60S-ribosomal-subunit biogenesis, functionally interacts with Dbp6p.	4511	29	2	3	3.9e-4	0.0313	YLR276C,YNR038W	DBP9,DBP6
PMID	PMID:10713067	(2000) Tsc3p is an 80-amino acid protein associated with serine palmitoyltransferase and required for optimal enzyme activity.	4511	29	2	2	2.3e-4	0.0313	YDR062W,YMR296C	LCB2,LCB1
PMID	PMID:9405408	(1997) A mammalian homolog of the yeast LCB1 encodes a component of serine palmitoyltransferase, the enzyme catalyzing the first step in sphingolipid synthesis.	4511	29	2	2	2.3e-4	0.0313	YDR062W,YMR296C	LCB2,LCB1
PMID	PMID:8058731	(1994) The LCB2 gene of Saccharomyces and the related LCB1 gene encode subunits of serine palmitoyltransferase, the initial enzyme in sphingolipid synthesis.	4511	29	2	2	2.3e-4	0.0313	YDR062W,YMR296C	LCB2,LCB1
PMID	PMID:1556076	(1992) Characterization of enzymatic synthesis of sphingolipid long-chain bases in Saccharomyces cerevisiae: mutant strains exhibiting long-chain-base auxotrophy are deficient in serine palmitoyltransferase activity.	4511	29	2	2	2.3e-4	0.0313	YDR062W,YMR296C	LCB2,LCB1
PMID	PMID:1556075	(1992) Sphingolipid long-chain-base auxotrophs of Saccharomyces cerevisiae: genetics, physiology, and a method for their selection.	4511	29	2	2	2.3e-4	0.0313	YDR062W,YMR296C	LCB2,LCB1
PMID	PMID:22319457	(2012) Down-regulating sphingolipid synthesis increases yeast lifespan.	4511	29	3	23	5.5e-4	0.0383	YDL047W,YDR062W,YMR296C	SIT4,LCB2,LCB1
PMID	PMID:31105664	(2019) Ionic Liquids Chemical Stress Triggers Sphingoid Base Accumulation in Aspergillus nidulans.	4511	29	2	4	5.8e-4	0.0388	YDR062W,YMR296C	LCB2,LCB1
PMID	PMID:30529276	(2019) The ORMs interact with transmembrane domain 1 of Lcb1 and regulate serine palmitoyltransferase oligomerization, activity and localization.	4511	29	2	4	5.8e-4	0.0388	YDR062W,YMR296C	LCB2,LCB1
PMID	PMID:22729185	(2013) Ceramide function in the brain: when a slight tilt is enough.	4511	29	2	4	5.8e-4	0.0388	YDR062W,YMR296C	LCB2,LCB1
PMID	PMID:31291455	(2019) Binding of eIF3 in complex with eIF5 and eIF1 to the 40S ribosomal subunit is accompanied by dramatic structural changes.	4511	29	3	25	6.9e-4	0.0413	YAL035W,YMR146C,YPR041W	FUN12,TIF34,TIF5
PMID	PMID:17921522	(2007) A genome-wide survey and systematic RNAi-based characterization of helicase-like genes in Caenorhabditis elegans.	4511	29	3	26	7.7e-4	0.0443	YKR024C,YLR276C,YMR128W	DBP7,DBP9,ECM16
PMID	PMID:31756231	(2019) Arabidopsis TRM5 encodes a nuclear-localised bifunctional tRNA guanine and inosine-N1-methyltransferase that is important for growth.	4511	29	2	5	8.1e-4	0.0454	YDR341C,YHR070W	YDR341C,TRM5
PMID	PMID:30407541	(2019) RNA polymerase III subunits C3753 modulate rU:dA hybrid 3' end dynamics during transcription termination.	4511	29	2	5	8.1e-4	0.0454	YNL248C,YOR207C	RPA49,RET1
PMID	PMID:25040056	(2014) Change in activity of serine palmitoyltransferase affects sensitivity to syringomycin E in yeast Saccharomyces cerevisiae.	4511	29	2	5	8.1e-4	0.0454	YDR062W,YMR296C	LCB2,LCB1
PMID	PMID:20208441	(2010) Effect of expression of genes in the sphingolipid synthesis pathway on the biosynthesis of ceramide in Saccharomyces cerevisiae.	4511	29	2	5	8.1e-4	0.0454	YDR062W,YMR296C	LCB2,LCB1
Pfam	PF00270	DEAD/DEAH box helicase	4511	29	5	42	9.43e-6	5.6e-4	YGL120C,YKR024C,YLR276C,YMR128W,YNR038W	PRP43,DBP7,DBP9,ECM16,DBP6
Pfam	PF00271	Helicase conserved C-terminal domain	4511	29	5	58	4.03e-5	0.0012	YGL120C,YKR024C,YLR276C,YMR128W,YNR038W	PRP43,DBP7,DBP9,ECM16,DBP6
Pfam	PF07717	Oligonucleotide/oligosaccharide-binding (OB)-fold	4511	29	2	7	0.0014	0.0212	YGL120C,YMR128W	PRP43,ECM16
Pfam	PF04851	Type III restriction enzyme, res subunit	4511	29	3	35	0.0017	0.0212	YKR024C,YLR276C,YNR038W	DBP7,DBP9,DBP6
Pfam	PF04408	Helicase associated domain (HA2)	4511	29	2	6	0.0011	0.0212	YGL120C,YMR128W	PRP43,ECM16
Pfam	PF03144	Elongation factor Tu domain 2	4511	29	2	9	0.0021	0.0212	YAL035W,YNL163C	FUN12,RIA1
Pfam	PF00155	Aminotransferase class I and II	4511	29	2	14	0.0045	0.0331	YDR062W,YMR296C	LCB2,LCB1
Pfam	PF00009	Elongation factor Tu GTP binding domain	4511	29	2	13	0.0039	0.0331	YAL035W,YNL163C	FUN12,RIA1
Process	GO:0034660	ncRNA metabolic process	4511	29	16	391	2.99e-10	1.43e-7	YAL035W,YDL047W,YDR341C,YGL120C,YHR070W,YJL087C,YKR024C,YLR276C,YLR316C,YMR059W,YMR128W,YMR131C,YNL221C,YNL248C,YNR038W,YOR207C	FUN12,SIT4,YDR341C,PRP43,TRM5,TRL1,DBP7,DBP9,TAD3,SEN15,ECM16,RRB1,POP1,RPA49,DBP6,RET1
Process	GO:0034470	ncRNA processing	4511	29	13	305	1.87e-8	4.48e-6	YAL035W,YDL047W,YGL120C,YHR070W,YJL087C,YKR024C,YLR276C,YLR316C,YMR059W,YMR128W,YMR131C,YNL221C,YNR038W	FUN12,SIT4,PRP43,TRM5,TRL1,DBP7,DBP9,TAD3,SEN15,ECM16,RRB1,POP1,DBP6
Process	GO:0042254	ribosome biogenesis	4511	29	12	298	1.5e-7	2.4e-5	YAL035W,YER036C,YGL120C,YKR024C,YLR276C,YMR128W,YMR131C,YNL163C,YNL221C,YNL248C,YNR038W,YPR041W	FUN12,ARB1,PRP43,DBP7,DBP9,ECM16,RRB1,RIA1,POP1,RPA49,DBP6,TIF5
Process	GO:0006399	tRNA metabolic process	4511	29	8	170	1.01e-5	8e-4	YDL047W,YDR341C,YHR070W,YJL087C,YLR316C,YMR059W,YNL221C,YOR207C	SIT4,YDR341C,TRM5,TRL1,TAD3,SEN15,POP1,RET1
Process	GO:1901360	organic cyclic compound metabolic process	4511	29	21	1505	2.11e-5	0.0011	YAL035W,YDL047W,YDR226W,YDR341C,YEL058W,YGL120C,YHR070W,YHR074W,YJL087C,YJL167W,YKR024C,YLR276C,YLR316C,YMR059W,YMR128W,YMR131C,YNL221C,YNL248C,YNR016C,YNR038W,YOR207C	FUN12,SIT4,ADK1,YDR341C,PCM1,PRP43,TRM5,QNS1,TRL1,ERG20,DBP7,DBP9,TAD3,SEN15,ECM16,RRB1,POP1,RPA49,ACC1,DBP6,RET1
Process	GO:0044238	primary metabolic process	4511	29	27	2546	1.75e-5	0.0011	YAL035W,YDL047W,YDR062W,YDR226W,YDR341C,YEL058W,YGL120C,YHR070W,YHR074W,YJL087C,YJL167W,YJR016C,YKR024C,YLR276C,YLR305C,YLR316C,YMR059W,YMR128W,YMR131C,YMR146C,YMR296C,YNL221C,YNL248C,YNR016C,YNR038W,YOR207C,YPR041W	FUN12,SIT4,LCB2,ADK1,YDR341C,PCM1,PRP43,TRM5,QNS1,TRL1,ERG20,ILV3,DBP7,DBP9,STT4,TAD3,SEN15,ECM16,RRB1,TIF34,LCB1,POP1,RPA49,ACC1,DBP6,RET1,TIF5
